model,macro_mae,macro_rmse,macro_r2,median_r2,positive_r2_targets
extra_trees,11.677300722613301,17.440161272472068,0.614590908127323,0.6282215601737241,19
random_forest,12.555119933915115,18.481070432382324,0.5668781944865176,0.5358295739506205,19
ridge,15.581536293029785,21.35579418792385,0.4032799852521796,0.3928149342536926,18
