target,mae,rmse,r2
elbowL_yz_deg,15.614627559767825,23.352315063960525,0.5257229968807007
elbowR_yz_deg,15.681146544502841,23.52542858904466,0.4822542110979918
head_vs_neck_xz_deg,5.156375179187046,11.522082157576323,0.5859167086036661
head_vs_neck_yz_deg,7.29761676015767,10.273336993640795,0.3407429876675465
kneeL_xz_deg,10.883985112209286,21.50562480919818,0.7726784617410241
kneeL_yz_deg,13.639585911772318,20.04183670917451,0.7906834921568786
kneeR_xz_deg,10.505713406403238,18.16818864863289,0.8094507847969911
kneeR_yz_deg,13.880425833536519,20.386580260987543,0.7824657079955755
shoulderL_vs_upperarmL_xz_deg,14.815317457973801,20.459312144067365,0.6282215601737241
shoulderL_vs_upperarmL_yz_deg,18.76809625443247,25.804355665798337,0.6721383691803303
shoulderR_vs_upperarmR_xz_deg,15.425695317601578,21.688938123858286,0.5806121600094099
shoulderR_vs_upperarmR_yz_deg,17.633656362274973,22.862625459205464,0.7386695210487302
spine1_vs_spine2_yz_deg,3.523554603349417,6.6902575208829775,0.6590875406404855
spine2_vs_spine3_yz_deg,4.82801480901068,7.846685538380589,0.5633797808489178
spine3_vs_spine4_yz_deg,5.365023691765447,6.481287173826141,0.5446512927018732
thighL_vs_spine1_yz_deg,12.46574777495861,17.5604727198025,0.7660507803660683
thighR_vs_spine1_yz_deg,12.543601601832442,18.314085379445693,0.7579077693979509
wristL_yz_deg,12.006538774900967,18.173106227120986,0.31332635463264447
wristR_yz_deg,11.833990774015584,16.70654499236557,0.36326677447862665
